[2026-05-19T08:35:07.808Z] GET http://localhost:8743/ → 200 (1ms, 103298B)
[2026-05-19T08:35:07.812Z] GET https://api.fontshare.com/v2/css?f[]=satoshi@300,400,500,700,900&display=swap → 200 (434ms, ?B)
[2026-05-19T08:35:07.813Z] GET https://fonts.googleapis.com/css2?family=DM+Serif+Display:ital@1&family=Courier+Prime:wght@400;700&display=swap → 200 (174ms, 2692B)
[2026-05-19T08:35:07.813Z] GET https://www.googletagmanager.com/gtag/js?id=G-R2KY9L0CF7 → pending (?ms, ?B)
[2026-05-19T08:35:07.813Z] GET http://localhost:8743/photo.png → 200 (2ms, 7441899B)
[2026-05-19T08:35:07.813Z] GET http://localhost:8743/earn-with-yulu.png → 200 (2ms, 438098B)
[2026-05-19T08:35:07.813Z] GET http://localhost:8743/quick-ride.png → 200 (3ms, 242024B)
[2026-05-19T08:35:07.813Z] GET http://localhost:8743/coupon-framework.png → 200 (9ms, 347037B)
[2026-05-19T08:35:07.813Z] GET http://localhost:8743/cal-today.png → 404 (10ms, 469B)
[2026-05-19T08:35:07.813Z] GET http://localhost:8743/cal-add-food.png → 404 (452ms, ?B)
[2026-05-19T08:35:07.813Z] GET http://localhost:8743/howls-moving-castle.png → 200 (453ms, ?B)
[2026-05-19T08:35:07.813Z] GET http://localhost:8743/1984.png → 200 (454ms, ?B)
[2026-05-19T08:35:07.813Z] GET http://localhost:8743/animal-farm.png → 200 (453ms, ?B)
[2026-05-19T08:35:07.813Z] GET http://localhost:8743/good-material.png → 200 (455ms, ?B)
[2026-05-19T08:35:07.813Z] GET http://localhost:8743/morisaki-bookshop.png → 200 (453ms, ?B)
[2026-05-19T08:35:07.813Z] GET http://localhost:8743/man-called-ove.png → 200 (454ms, ?B)
[2026-05-19T08:35:07.813Z] GET http://localhost:8743/born-a-crime.png → 200 (455ms, ?B)
[2026-05-19T08:35:07.814Z] GET http://localhost:8743/coraline.png → 200 (454ms, ?B)
[2026-05-19T08:35:07.814Z] GET http://localhost:8743/butter.png → 200 (454ms, ?B)
[2026-05-19T08:35:07.814Z] GET https://covers.openlibrary.org/b/id/14854743-L.jpg → pending (?ms, ?B)
[2026-05-19T08:35:07.814Z] GET http://localhost:8743/everything-i-know-about-love.png → 200 (455ms, ?B)
[2026-05-19T08:35:07.814Z] GET http://localhost:8743/tokyo-express.png → 200 (455ms, ?B)
[2026-05-19T08:35:07.814Z] GET http://localhost:8743/great-gatsby.png → pending (?ms, ?B)
[2026-05-19T08:35:07.814Z] GET http://localhost:8743/silent-patient.png → pending (?ms, ?B)
[2026-05-19T08:35:08.265Z] GET http://localhost:8743/cal-today.png → pending (?ms, ?B)
[2026-05-19T08:35:08.314Z] GET https://cdn.fontshare.com/wf/TTX2Z3BF3P6Y5BQT3IV2VNOK6FL22KUT/7QYRJOI3JIMYHGY6CH7SOIFRQLZOLNJ6/KFIAZD4RUMEZIYV6FQ3T3GP5PDBDB6JY.woff2 → 200 (42ms, 25516B)
[2026-05-19T08:35:08.314Z] GET https://cdn.fontshare.com/wf/LAFFD4SDUCDVQEXFPDC7C53EQ4ZELWQI/PXCT3G6LO6ICM5I3NTYENYPWJAECAWDD/GHM6WVH6MILNYOOCXHXB5GTSGNTMGXZR.woff2 → 200 (47ms, 25328B)
[2026-05-19T08:35:08.314Z] GET https://cdn.fontshare.com/wf/P2LQKHE6KA6ZP4AAGN72KDWMHH6ZH3TA/ZC32TK2P7FPS5GFTL46EU6KQJA24ZYDB/7AHDUZ4A7LFLVFUIFSARGIWCRQJHISQP.woff2 → 200 (63ms, 25596B)
[2026-05-19T08:35:08.314Z] GET https://fonts.gstatic.com/s/dmserifdisplay/v17/-nFhOHM81r4j6k0gjAW3mujVU2B2G_VB0PD2xWr53A.woff2 → 200 (90ms, 17660B)
[2026-05-19T08:35:08.314Z] GET https://cdn.fontshare.com/wf/NHPGVFYUXYXE33DZ75OIT4JFGHITX5PE/PSUTMASCDJTVPERDYJZPN23BVUFUCQIF/J64QX5IPOHK56I2KYUNBQ5M2XWZEYKYX.woff2 → 200 (40ms, 23484B)
[2026-05-19T08:35:08.314Z] GET https://fonts.gstatic.com/s/courierprime/v11/u-4k0q2lgwslOqpF_6gQ8kELY7pMT-Dfq9PrNX0.woff2 → 200 (92ms, 11588B)
[2026-05-19T08:35:08.437Z] POST https://www.google-analytics.com/g/collect?v=2&tid=G-R2KY9L0CF7&gtm=45je65f1v9252549141za200zd9252549141&_p=1779179708246&gcd=13l3l3l3l1l1&npa=0&dma=0&are=1&cid=592293916.1779179708&frm=0&pscdl=noapi&rcb=16&sr=1280x720&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uam=&uamb=0&uap=macOS&uapv=26.3.1&uaw=0&ul=en-us&_s=1&tag_exp=0~115938465~115938469&sid=1779179708&sct=1&seg=0&dl=http%3A%2F%2Flocalhost%2F&dt=Vaishnavi%20Jawdekar%2C%20Product%20Designer&en=page_view&_fv=1&_nsi=1&_ss=1&_ee=1&tfd=629 → 204 (105ms, ?B)
